               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_233   0.352071  0.346492  0.240587 -0.045455 -0.064842 -0.040822  0.121373  0.016237
Sample_234   0.356017  0.410950  0.152980  0.426461 -0.009369 -0.004310  0.042054  0.058023
Sample_235   0.928748 -0.120376  0.407552  0.176682 -0.028070 -0.024019  0.022412  0.064568
Sample_236   0.645892  0.198983  0.497222  0.188152 -0.018218 -0.009728  0.075963 -0.015139
Sample_237   0.655993  0.186239  0.360165  0.066179 -0.038570 -0.009387  0.048452 -0.002277
Sample_238   0.605960  0.176678  0.206040  0.229185 -0.051349  0.000152  0.156928 -0.019612
Sample_239   0.680820  0.232525  0.410633  0.090207 -0.035197 -0.018327  0.057637  0.026376
Sample_240   0.672083  0.150928  0.558311 -0.093828 -0.014721 -0.013146  0.070982  0.028415
Sample_241   0.975692 -0.201954  0.217675  0.403281 -0.035818  0.038884  0.028369  0.102104
Sample_242   0.477180  0.342591  0.171737  0.119088 -0.013756 -0.012985  0.061523  0.033715
Sample_243   0.418084  0.408905  0.122391 -0.193867  0.001955 -0.040718  0.107834  0.057162
Sample_244   0.625945  0.153559  0.218490  0.101773 -0.016856 -0.037448  0.039716  0.075325
Sample_245   0.747324  0.077021  0.279246  0.049562 -0.028845 -0.028267  0.023047  0.077930
Sample_246   0.678977  0.151627  0.365281  0.247028 -0.033778 -0.000113  0.069371  0.055603
Sample_247   0.623959  0.133927  0.282879 -0.198394 -0.015103 -0.046079  0.093723  0.111301
Sample_248   0.791684  0.005934  0.189352 -0.034056 -0.011888  0.005706  0.111858  0.073009
Sample_249   0.841434 -0.002172 -0.303362 -0.026466  0.000415  0.028745  0.066228  0.071714
Sample_250   0.511847  0.254334  0.655000 -0.220795 -0.018160  0.015707  0.133724 -0.013454
Sample_251   0.244366  0.358628  0.009343  0.283972 -0.094225 -0.000244 -0.143379  0.019682
Sample_252   0.562171  0.070084  0.194230  0.147488  0.001015 -0.042482  0.051365  0.117208
Sample_253   0.913091 -0.058652  0.250853  0.370191  0.039542 -0.007822  0.076402  0.072791
Sample_254   0.770292  0.133062  0.687305 -0.096699  0.002939 -0.034512  0.065616  0.066189
Sample_255   0.518355  0.205206  0.470337  0.214987  0.003354 -0.006956  0.093851  0.025222
Sample_256   0.321663  0.229907  0.463373  0.129742 -0.004523 -0.059956  0.038429  0.147606
Sample_257   0.500396  0.245462  0.111847  0.272268  0.011335 -0.049302  0.066606  0.085834
Sample_258   0.638652  0.167773  0.516461 -0.242950  0.004094 -0.037448  0.042998  0.127089
