             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_105        72138.621430               17.807048       72138.621430    0.165405   0.617196              0.669380    -0.649902                0.144709      -0.092378                        1.0                    0.0                57.841270                        2.0         126.676584 -0.727982            59.574820    81054.630820                   1.0
Sample_106        66914.905513               16.667213       66914.905513    0.158204   0.582015              0.662310    -0.652418                0.000000       0.000000                        4.0                    0.0                58.065217                        4.0         128.099942 -0.710210            58.945550    75185.287093                   1.0
Sample_107        85267.026363               19.079514       85267.026363    0.165773   0.593800              0.720410    -0.682896                0.081710       0.000000                        2.0                    0.0                60.777778                        2.0         133.997578 -0.795124            64.116512    95805.647599                   1.0
Sample_108        81268.267114               19.657393       81268.267114    0.179654   0.659830              0.645572    -0.645572                0.252808      -0.252808                        0.0                    0.0                57.455882                        0.0         123.046365 -0.750936            57.455882    91312.659679                   1.0
Sample_109        82299.748035               18.832833       82299.748035    0.162612   0.608950              0.665400    -0.659326                0.056004      -0.000330                        2.0                    0.0                58.680000                        2.0         128.436220 -0.782883            59.220579    92471.627005                   1.0
Sample_110        72275.619420               17.709346       72275.619420    0.160344   0.620619              0.659711    -0.659711                0.084183      -0.084183                        0.0                    0.0                58.714286                        0.0         125.348784 -0.733936            58.714286    81208.561146                   1.0
Sample_111        77878.420902               18.057421       77878.420902    0.156237   0.597223              0.695844    -0.657847                0.017094       0.000000                        5.0                    0.0                58.548387                        5.0         131.052366 -0.766518            61.930096    87503.843710                   1.0
Sample_112        88334.924662               19.711893       88334.924662    0.162958   0.628805              0.706398    -0.704801                0.106448      -0.106448                        1.0                    0.0                62.727273                        1.0         129.108408 -0.808763            62.869453    99252.724339                   1.0
Sample_113        84320.379395               20.128296       84320.379395    0.172635   0.679042              0.689139    -0.689139                0.241272      -0.241272                        0.0                    0.0                61.333333                        0.0         127.116349 -0.763103            61.333333    94741.999320                   1.0
Sample_114        96340.504720               22.964642       96340.504720    0.197290   0.703576              0.668539    -0.668539                0.248848      -0.248848                        0.0                    0.0                59.500000                        0.0         124.974110 -0.754238            59.500000   108247.758112                   1.0
Sample_115        92279.988551               24.094055       92279.988551    0.224840   0.750864              0.671496    -0.671496                0.368151      -0.368151                        0.0                    0.0                59.763158                        0.0         124.534389 -0.640446            59.763158   103685.380395                   1.0
Sample_116       106449.574679               23.051628      106449.574679    0.181763   0.654808              0.685393    -0.685393                0.171046      -0.171046                        0.0                    0.0                61.000000                        0.0         126.533588 -0.844485            61.000000   119606.263684                   1.0
Sample_117        78008.068658               18.250847       78008.068658    0.154356   0.620619              0.707865    -0.707865                0.194965      -0.194965                        0.0                    0.0                63.000000                        0.0         128.198561 -0.767033            63.000000    87649.515346                   1.0
Sample_118        91924.082011               20.697516       91924.082011    0.177976   0.655258              0.678500    -0.674157                0.193271      -0.163330                        1.0                    0.0                60.000000                        1.0         126.773061 -0.804729            60.386543   103285.485406                   1.0
Sample_119        82426.299243               20.774017       82426.299243    0.188309   0.696702              0.683387    -0.683387                0.333896      -0.333896                        0.0                    0.0                60.821429                        0.0         125.551290 -0.720174            60.821429    92613.819375                   1.0
Sample_120       112362.936134               27.646515      112362.936134    0.249632   0.783414              0.688214    -0.682986                0.152565      -0.152565                        2.0                    0.0                60.785714                        2.0         129.155157 -0.627136            61.251084   126250.490038                   1.0
Sample_121       110929.114740               24.655415      110929.114740    0.200771   0.725115              0.678652    -0.678652                0.298381      -0.298381                        0.0                    0.0                60.400000                        0.0         124.167988 -0.811230            60.400000   124639.454764                   1.0
Sample_122       101994.819632               23.949240      101994.819632    0.209459   0.773422              0.694236    -0.691713                0.293388      -0.293388                        2.0                    0.0                61.562500                        2.0         125.417137 -0.757643            61.787013   114600.920935                   1.0
Sample_123        99100.860758               20.540205       99100.860758    0.157479   0.613773              0.706020    -0.705859                0.037097      -0.037097                        1.0                    0.0                62.821429                        1.0         132.403609 -0.863665            62.835817   111349.281751                   1.0
